state,fiscal_year,total_expenditures_millions,population,per_capita,source,notes
Ohio,2023,97348,11785935,8260,"Census Bureau (timeseries/govsstatefin, SF0132)",
Ohio,2024,99702,11883304,8390,KFF/NASBO (auto-scraped),
Oklahoma,2015,24157,3911338,6176,Tax Policy Center / Census of Governments,
Oklahoma,2017,25305,3930864,6438,Tax Policy Center / Census of Governments,
Oklahoma,2019,25195,3956971,6367,Tax Policy Center / Census of Governments,
Oklahoma,2021,29938,3986639,7510,Tax Policy Center / Census of Governments,
Oklahoma,2023,33617,4053824,8293,"Census Bureau (timeseries/govsstatefin, SF0132)",
Oklahoma,2024,27928,4095393,6819,KFF/NASBO (auto-scraped),
Oregon,2015,34496,4028977,8562,Tax Policy Center / Census of Governments,
Oregon,2017,36395,4142776,8785,Tax Policy Center / Census of Governments,
Oregon,2019,40838,4217737,9682,Tax Policy Center / Census of Governments,
Oregon,2021,49916,4246155,11756,Tax Policy Center / Census of Governments,
Oregon,2023,50770,4233358,11993,"Census Bureau (timeseries/govsstatefin, SF0132)",
Oregon,2024,58494,4272371,13691,KFF/NASBO (auto-scraped),
Pennsylvania,2015,90222,12802503,7047,Tax Policy Center / Census of Governments,
Pennsylvania,2017,103914,12805537,8115,Tax Policy Center / Census of Governments,
Pennsylvania,2019,108796,12801989,8498,Tax Policy Center / Census of Governments,
Pennsylvania,2021,125185,12964056,9656,Tax Policy Center / Census of Governments,
Pennsylvania,2023,125516,12961683,9684,"Census Bureau (timeseries/govsstatefin, SF0132)",
Pennsylvania,2024,119040,13078751,9102,KFF/NASBO (auto-scraped),
Rhode Island,2015,8901,1056298,8427,Tax Policy Center / Census of Governments,
Rhode Island,2017,9177,1059639,8660,Tax Policy Center / Census of Governments,
Rhode Island,2019,9854,1059361,9302,Tax Policy Center / Census of Governments,
Rhode Island,2021,11882,1095610,10845,Tax Policy Center / Census of Governments,
Rhode Island,2023,11695,1095962,10671,"Census Bureau (timeseries/govsstatefin, SF0132)",
Rhode Island,2024,12778,1112308,11488,KFF/NASBO (auto-scraped),
South Carolina,2015,30367,4896146,6202,Tax Policy Center / Census of Governments,
South Carolina,2017,33166,5024369,6601,Tax Policy Center / Census of Governments,
South Carolina,2019,34267,5148714,6655,Tax Policy Center / Census of Governments,
South Carolina,2021,39703,5190705,7649,Tax Policy Center / Census of Governments,
South Carolina,2023,44099,5373555,8207,"Census Bureau (timeseries/govsstatefin, SF0132)",
South Carolina,2024,40239,5478831,7344,KFF/NASBO (auto-scraped),
South Dakota,2015,4774,858469,5561,Tax Policy Center / Census of Governments,
South Dakota,2017,5163,869666,5937,Tax Policy Center / Census of Governments,
South Dakota,2019,5385,884659,6087,Tax Policy Center / Census of Governments,
South Dakota,2021,7186,895376,8026,Tax Policy Center / Census of Governments,
South Dakota,2023,6550,919318,7125,"Census Bureau (timeseries/govsstatefin, SF0132)",
South Dakota,2024,6874,924669,7434,KFF/NASBO (auto-scraped),
Tennessee,2015,30660,6600299,4645,Tax Policy Center / Census of Governments,
Tennessee,2017,35178,6715984,5238,Tax Policy Center / Census of Governments,
Tennessee,2019,35241,6829174,5160,Tax Policy Center / Census of Governments,
Tennessee,2021,42283,6975218,6062,Tax Policy Center / Census of Governments,
Tennessee,2023,44881,7126489,6298,"Census Bureau (timeseries/govsstatefin, SF0132)",
Tennessee,2024,53078,7227750,7344,KFF/NASBO (auto-scraped),
Texas,2015,136514,27469114,4970,Tax Policy Center / Census of Governments,
Texas,2017,147129,28304596,5198,Tax Policy Center / Census of Governments,
Texas,2019,164226,28995881,5664,Tax Policy Center / Census of Governments,
Texas,2021,200493,29527941,6790,Tax Policy Center / Census of Governments,
Texas,2023,196802,30503301,6452,"Census Bureau (timeseries/govsstatefin, SF0132)",
Texas,2024,144593,31290831,4621,KFF/NASBO (auto-scraped),
Utah,2015,18360,2995919,6128,Tax Policy Center / Census of Governments,
Utah,2017,20355,3101833,6562,Tax Policy Center / Census of Governments,
Utah,2019,23021,3205958,7181,Tax Policy Center / Census of Governments,
Utah,2021,27773,3337975,8320,Tax Policy Center / Census of Governments,
Utah,2023,30244,3417734,8849,"Census Bureau (timeseries/govsstatefin, SF0132)",
Utah,2024,25901,3503613,7393,KFF/NASBO (auto-scraped),
Vermont,2015,6662,626042,10641,Tax Policy Center / Census of Governments,
Vermont,2017,6853,623657,10988,Tax Policy Center / Census of Governments,
Vermont,2019,7029,623989,11265,Tax Policy Center / Census of Governments,
Vermont,2021,10193,645570,15789,Tax Policy Center / Census of Governments,
Vermont,2023,9094,647464,14046,"Census Bureau (timeseries/govsstatefin, SF0132)",
Vermont,2024,8348,648493,12873,KFF/NASBO (auto-scraped),
Virginia,2015,50214,8382993,5990,Tax Policy Center / Census of Governments,
Virginia,2017,53645,8470020,6334,Tax Policy Center / Census of Governments,
Virginia,2019,59464,8535519,6967,Tax Policy Center / Census of Governments,
Virginia,2021,70804,8642274,8193,Tax Policy Center / Census of Governments,
Virginia,2023,78551,8715698,9013,"Census Bureau (timeseries/govsstatefin, SF0132)",
Virginia,2024,83987,8811195,9532,KFF/NASBO (auto-scraped),
Washington,2015,51606,7170351,7197,Tax Policy Center / Census of Governments,
Washington,2017,56042,7405743,7567,Tax Policy Center / Census of Governments,
Washington,2019,60239,7614893,7911,Tax Policy Center / Census of Governments,
Washington,2021,75384,7738692,9741,Tax Policy Center / Census of Governments,
Washington,2023,74391,7812880,9522,"Census Bureau (timeseries/govsstatefin, SF0132)",
Washington,2024,74676,7958180,9384,KFF/NASBO (auto-scraped),
West Virginia,2015,14253,1844128,7729,Tax Policy Center / Census of Governments,
West Virginia,2017,14677,1815857,8083,Tax Policy Center / Census of Governments,
West Virginia,2019,15260,1792147,8515,Tax Policy Center / Census of Governments,
West Virginia,2021,17957,1782959,10071,Tax Policy Center / Census of Governments,
West Virginia,2023,18165,1770071,10262,"Census Bureau (timeseries/govsstatefin, SF0132)",
West Virginia,2024,25816,1769979,14585,KFF/NASBO (auto-scraped),
Wisconsin,2015,42768,5771337,7410,Tax Policy Center / Census of Governments,
Wisconsin,2017,42386,5795483,7314,Tax Policy Center / Census of Governments,
Wisconsin,2019,43839,5822434,7529,Tax Policy Center / Census of Governments,
Wisconsin,2021,50472,5895908,8561,Tax Policy Center / Census of Governments,
Wisconsin,2023,51663,5910955,8740,"Census Bureau (timeseries/govsstatefin, SF0132)",
Wisconsin,2024,66256,5960975,11115,KFF/NASBO (auto-scraped),
Wyoming,2015,6148,586107,10490,Tax Policy Center / Census of Governments,
Wyoming,2017,6468,579315,11165,Tax Policy Center / Census of Governments,
Wyoming,2019,6182,578759,10681,Tax Policy Center / Census of Governments,
Wyoming,2021,7495,578803,12949,Tax Policy Center / Census of Governments,
Wyoming,2023,5952,584057,10191,"Census Bureau (timeseries/govsstatefin, SF0132)",
Wyoming,2024,5587,587618,9508,KFF/NASBO (auto-scraped),
