state,session_year,fy,scheduled_adjourn,actual_adjourn,overrun_days,precision,signed_date,days_late,scheduled_edition,actual_edition,source
Florida,2018,2019,2018-03-09,2018-03-11,2,exact,2018-03-16,-107,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2019,2020,2019-05-03,2019-05-04,1,exact,2019-06-21,-10,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2021,2022,2021-04-30,2021-04-30,0,exact,2021-06-02,-29,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2022,2023,2022-03-11,2022-03-14,3,exact,2022-06-02,-29,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2023,2024,2023-05-05,2023-05-05,0,exact,2023-06-15,-16,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2024,2025,2024-03-08,2024-03-08,0,exact,2024-06-12,-19,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2025,2026,2025-05-02,2025-06-16,45,exact,2025-06-30,-1,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Florida,2026,2027,2026-03-13,2026-03-13,0,exact,2026-06-29,-2,2026-01-05,2026-07-06,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2015,2016,2015-04-05,2015-04-02,-3,approx,2015-05-11,-51,2014-11-07,2015-12-21,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2016,2017,2016-03-25,2016-03-25,0,approx,2016-05-02,-60,2015-11-02,2018-01-17,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2018,2019,2018-03-25,2018-03-29,4,approx,2018-05-02,-60,2018-01-10,2018-09-19,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2019,2020,2019-04-05,2019-04-02,-3,approx,2019-05-10,-52,2019-01-03,2019-10-03,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2020,2021,2020-03-27,2020-06-26,91,exact,2020-06-30,-1,2020-03-17,2020-12-31,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2021,2022,2021-04-02,2021-03-31,-2,exact,2021-05-10,-52,2020-12-01,2021-12-30,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2022,2023,2022-04-01,2022-04-04,3,exact,2022-05-12,-50,2021-10-26,2022-12-12,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2023,2024,2023-03-30,2023-03-29,-1,exact,2023-05-05,-57,2022-11-07,2023-11-13,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2024,2025,2024-03-28,2024-03-28,0,exact,2024-05-07,-55,2024-01-22,2024-12-11,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
Georgia,2025,2026,2025-04-02,2025-04-04,2,exact,2025-05-09,-53,2024-11-08,2025-12-22,"NCSL Legislative Session Calendar, early vs post-session edition of the same year"
